config_id,config_idx,period,pnl_usd,max_drawdown,sharpe,win_rate,profit_factor,trades,nochop_ema,nochop_lookback,nochop_min_closes
5e4442163047,14,2023-2025,-255.8595000000048,-0.42947503705921797,-0.4667403228397152,30.416666666666664,0.8347611706153502,240,10,20,20
5e4442163047,14,2026,239.3849999999984,-0.06742738178637464,3.870554818126273,46.15384615384615,4.219423748401526,13,10,20,20
e9feb6250ce2,15,2021-2022,172.01150000000234,-0.17989016725980178,0.47724756786765665,36.77685950413223,1.093543447827479,483,10,30,6
e9feb6250ce2,15,2023-2025,3492.5314999999882,-0.21261045252265565,2.3818936221677856,40.595238095238095,1.5405167159083744,840,10,30,6
e9feb6250ce2,15,2026,827.9270000000015,-0.2278363549227731,5.189492676778191,45.45454545454545,2.149228227887043,43,10,30,6
ecd591760651,16,2021-2022,170.3080000000034,-0.17873706513885124,0.4732916379088101,37.00623700623701,1.0924127268820352,480,10,30,8
ecd591760651,16,2023-2025,3485.1924999999865,-0.2125176651892432,2.3752221060084744,40.692124105011935,1.5391465725482778,838,10,30,8
ecd591760651,16,2026,833.4369999999999,-0.2272821781457044,5.223333314952902,45.45454545454545,2.155339411042509,43,10,30,8
e9550ff6aed6,17,2021-2022,156.54700000000344,-0.1784546125106905,0.44193580624860107,36.82008368200837,1.0884270164679712,477,10,30,10
e9550ff6aed6,17,2023-2025,3413.187999999991,-0.21638575556286233,2.3344373411008155,40.26284348864994,1.527627026305867,837,10,30,10
e9550ff6aed6,17,2026,809.3270000000011,-0.2297272033243002,5.081915338299507,45.45454545454545,2.1289441286583717,43,10,30,10
045090646674,18,2021-2022,205.55650000000196,-0.14098858803176273,0.5465026303249316,37.15498938428875,1.10252941948531,470,10,30,12
045090646674,18,2023-2025,3450.2114999999894,-0.2230058795368668,2.3594105060391204,40.12121212121212,1.53863605454726,825,10,30,12
045090646674,18,2026,1163.5370000000003,-0.17535351183546888,6.759113972893006,46.51162790697674,2.602068026514829,42,10,30,12
4ab50d062d3c,19,2021-2022,285.954000000002,-0.15386818256745027,0.7114268267591513,37.5,1.1374494975954965,447,10,30,14
4ab50d062d3c,19,2023-2025,3281.163499999995,-0.23142247708700958,2.256748565681798,40.473225404732254,1.5403501478755053,803,10,30,14
4ab50d062d3c,19,2026,1424.4570000000058,-0.14108600594215115,7.970834136070072,48.78048780487805,3.2176788370318006,40,10,30,14
b228825680a2,20,2021-2022,267.2245000000066,-0.14063851480541356,0.6822619028086561,37.95454545454545,1.1277798145563585,439,10,30,15
b228825680a2,20,2023-2025,3403.9734999999882,-0.221364988766389,2.4609879544152484,40.0,1.5662154166353324,790,10,30,15
b228825680a2,20,2026,816.0645000000031,-0.14104973400205456,6.228555659326455,45.23809523809524,2.5217545352233417,41,10,30,15
c2c07f8cf58c,21,2021-2022,308.7645000000034,-0.1409916600863994,0.7726975074867757,38.67924528301887,1.1621804144657697,423,10,30,16
c2c07f8cf58c,21,2023-2025,3024.8674999999876,-0.21468301180855864,2.300252019346057,40.07682458386684,1.5450159674482709,781,10,30,16
c2c07f8cf58c,21,2026,863.0535000000045,-0.13193158800687044,6.5726635275921925,46.34146341463415,2.8018712442053912,40,10,30,16
a1c460a06956,22,2021-2022,229.54699999999525,-0.1318079874801763,0.6394635763549003,37.83783783783784,1.141206684778336,407,10,30,18
a1c460a06956,22,2023-2025,2560.4239999999886,-0.20306514838848988,2.078455677451047,37.3134328358209,1.4912891236798218,737,10,30,18
a1c460a06956,22,2026,833.2100000000046,-0.13480232068497444,6.755217118155633,41.86046511627907,3.1277278060927918,42,10,30,18
