period,date,deepen_usd_total,recover_usd_total,deepen_usd_inpos,deepen_usd_flat,min_dd_pct,min_dd_usd,bars,inpos_frac,ema_sep_ok_frac,nochop_ok_frac,corr_ok_frac,fomc_allow_frac,deepen_usd_ema_sep_bad,deepen_usd_nochop_bad,deepen_usd_corr_bad,deepen_usd_fomc_blocked
2023-2025,2025-06-15,20.267999999999574,30.157999999999447,20.267999999999574,0.0,-0.022129582316923524,-70.50599999999895,23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-16,33.97350000000006,29.98700000000008,31.208500000000186,2.7649999999998727,-0.023869509976610304,-76.04949999999917,276,0.13043478260869565,0.8913043478260869,0.25,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-17,0.0,0.0,0.0,0.0,-0.022988011495103988,-73.24099999999908,276,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-18,0.0,0.0,0.0,0.0,-0.022988011495103988,-73.24099999999908,276,0.0,0.0,0.0,1.0,0.8876811594202898,0.0,0.0,0.0,0.0
2023-2025,2025-06-19,0.0,0.0,0.0,0.0,-0.022988011495103988,-73.24099999999908,246,0.0,0.0,0.06097560975609756,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-20,0.0,0.0,0.0,0.0,-0.022988011495103988,-73.24099999999908,253,0.0,0.0,0.25296442687747034,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-22,0.0,0.0,0.0,0.0,-0.022988011495103988,-73.24099999999908,23,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-23,77.92600000000039,63.81200000000081,76.84900000000107,1.076999999999316,-0.029336620996769258,-93.46799999999894,276,0.17753623188405798,0.32608695652173914,0.42391304347826086,0.8731884057971014,1.0,0.0,0.0,46.48999999999978,0.0
2023-2025,2025-06-24,0.0,0.0,0.0,0.0,-0.02741794546981613,-87.35499999999865,276,0.0,0.0,0.06521739130434782,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-25,0.0,0.0,0.0,0.0,-0.02741794546981613,-87.35499999999865,276,0.0,0.0,0.6195652173913043,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-26,0.0,0.0,0.0,0.0,-0.02741794546981613,-87.35499999999865,276,0.0,0.0,0.43478260869565216,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-27,0.0,0.0,0.0,0.0,-0.02741794546981613,-87.35499999999865,253,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-29,0.0,0.0,0.0,0.0,-0.02741794546981613,-87.35499999999865,23,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-06-30,0.0,0.0,0.0,0.0,-0.02741794546981613,-87.35499999999865,276,0.0,0.0,0.4782608695652174,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-01,175.57100000000264,217.4810000000025,173.20100000000184,2.3700000000008004,-0.030262531810528404,-96.41799999999785,276,0.6159420289855072,0.9456521739130435,0.8152173913043478,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-02,117.24599999999646,123.7759999999962,114.62899999999627,2.617000000000189,-0.01727153229137479,-55.02799999999934,276,0.38405797101449274,1.0,0.5108695652173914,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-03,13.20300000000043,2.8499999999994543,12.79699999999957,0.40600000000085856,-0.015463652194000588,-49.26800000000003,276,0.03260869565217391,0.8260869565217391,0.16304347826086957,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-07-04,48.87999999999829,33.78399999999783,48.87999999999829,0.0,-0.021763926012506762,-69.34099999999944,205,0.2097560975609756,0.5902439024390244,0.3804878048780488,1.0,1.0,0.0,0.0,0.0,0.0
