period,peak_ts,trough_ts,recovery_ts,peak_equity,trough_equity,max_dd_pct,max_dd_usd,to_trough_bars,to_recovery_bars
2021-2022,2021-04-15 14:50:00+00:00,2021-04-15 15:00:00+00:00,2021-04-15 15:30:00+00:00,1062.1959999999976,1058.7459999999974,-0.003247988130251178,-3.450000000000273,2.0,8.0
2021-2022,2021-05-06 15:00:00+00:00,2021-05-06 15:20:00+00:00,2021-05-06 15:25:00+00:00,1097.999999999999,1094.4699999999993,-0.003214936247722955,-3.5299999999997453,4.0,5.0
2021-2022,2021-05-07 03:10:00+00:00,2021-05-07 03:15:00+00:00,2021-05-07 03:20:00+00:00,1104.3469999999993,1101.1699999999996,-0.002876813175568649,-3.17699999999968,1.0,2.0
2021-2022,2022-02-17 09:20:00+00:00,2022-02-17 09:25:00+00:00,2022-02-17 09:30:00+00:00,1164.1009999999983,1160.7609999999981,-0.002869166850642868,-3.3400000000001455,1.0,2.0
2021-2022,2021-01-04 18:15:00+00:00,2021-01-04 18:20:00+00:00,2021-01-04 19:00:00+00:00,1013.7820000000002,1011.1300000000001,-0.0026159470181952305,-2.6520000000000437,1.0,9.0
2021-2022,2021-03-11 08:50:00+00:00,2021-03-11 09:10:00+00:00,2021-03-11 09:15:00+00:00,1042.3379999999993,1039.8719999999994,-0.0023658352664873705,-2.4659999999998945,4.0,5.0
2021-2022,2021-03-11 05:35:00+00:00,2021-03-11 05:40:00+00:00,2021-03-11 05:50:00+00:00,1032.2529999999997,1030.1219999999994,-0.0020644163785431546,-2.131000000000313,1.0,3.0
2021-2022,2022-02-17 17:20:00+00:00,2022-02-17 17:25:00+00:00,2022-02-17 17:40:00+00:00,1181.8859999999981,1179.7009999999982,-0.0018487400646085561,-2.1849999999999454,1.0,4.0
2021-2022,2021-03-11 08:20:00+00:00,2021-03-11 08:25:00+00:00,2021-03-11 08:30:00+00:00,1038.566999999999,1036.9379999999992,-0.0015685073760286494,-1.6289999999999054,1.0,2.0
2021-2022,2021-03-15 01:15:00+00:00,2021-03-15 01:20:00+00:00,2021-03-15 01:25:00+00:00,1044.8059999999991,1043.1839999999993,-0.0015524413144639704,-1.6219999999998436,1.0,2.0
2021-2022,2021-03-11 07:40:00+00:00,2021-03-11 07:55:00+00:00,2021-03-11 08:10:00+00:00,1037.9779999999992,1036.4469999999992,-0.0014749830921271245,-1.530999999999949,3.0,6.0
2021-2022,2021-03-11 08:35:00+00:00,2021-03-11 08:40:00+00:00,2021-03-11 08:45:00+00:00,1041.2259999999992,1040.1909999999993,-0.0009940205104366218,-1.0349999999998545,1.0,2.0
2021-2022,2021-05-07 05:20:00+00:00,2021-05-07 05:25:00+00:00,2021-05-07 05:30:00+00:00,1104.6229999999991,1103.5269999999996,-0.0009921937167699513,-1.095999999999549,1.0,2.0
2021-2022,2022-02-15 03:15:00+00:00,2022-02-15 03:20:00+00:00,2022-02-15 03:25:00+00:00,1150.4029999999984,1149.4349999999981,-0.0008414442590990445,-0.968000000000302,1.0,2.0
2021-2022,2021-03-11 08:10:00+00:00,2021-03-11 08:15:00+00:00,2021-03-11 08:20:00+00:00,1038.1579999999994,1037.4269999999992,-0.0007041317410261261,-0.7310000000002219,1.0,2.0
2021-2022,2021-04-15 14:30:00+00:00,2021-04-15 14:35:00+00:00,2021-04-15 14:40:00+00:00,1057.4129999999973,1056.7459999999978,-0.0006307847548682188,-0.6669999999994616,1.0,2.0
