config_id,config_idx,period,pnl_usd,max_drawdown,sharpe,trades,pre_h,post_h,mode,time_filter_mode,n_events
20ca9e96fa11,24,2023-2025,3393.726499999989,-0.1733400859971601,2.594977817699356,736,1.5,1.0,force-flat,force_flat,21
20ca9e96fa11,24,2026,1445.5830000000033,-0.12479214754130075,8.461388540905928,42,1.5,1.0,force-flat,force_flat,1
a38d670dbdb5,25,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,1.5,1.5,no-entry,block_entry_hold_segment,16
a38d670dbdb5,25,2023-2025,3310.58949999999,-0.18934277473442096,2.51243423869237,731,1.5,1.5,no-entry,block_entry_hold_segment,21
a38d670dbdb5,25,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,1.5,1.5,no-entry,block_entry_hold_segment,1
cf600971e95a,26,2021-2022,143.01650000000063,-0.15689264462985109,0.4611711109895818,414,1.5,1.5,force-flat,force_flat,16
cf600971e95a,26,2023-2025,3408.8754999999865,-0.16960867002974744,2.6203511958996994,736,1.5,1.5,force-flat,force_flat,21
cf600971e95a,26,2026,1357.2230000000027,-0.1298500602731273,8.051530922855834,42,1.5,1.5,force-flat,force_flat,1
2af7e4c9b813,27,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,1.5,2.0,no-entry,block_entry_hold_segment,16
2af7e4c9b813,27,2023-2025,3295.46949999999,-0.19351296478144409,2.4955572669653043,730,1.5,2.0,no-entry,block_entry_hold_segment,21
2af7e4c9b813,27,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,1.5,2.0,no-entry,block_entry_hold_segment,1
e2e41c584466,28,2021-2022,144.07650000000058,-0.156104172098263,0.4637458164253186,414,1.5,2.0,force-flat,force_flat,16
e2e41c584466,28,2023-2025,3366.8604999999916,-0.19790439751330346,2.5767184758497703,736,1.5,2.0,force-flat,force_flat,21
e2e41c584466,28,2026,1325.5130000000017,-0.131766654285163,7.915166618013082,42,1.5,2.0,force-flat,force_flat,1
a7640aa827cf,29,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,1.5,3.0,no-entry,block_entry_hold_segment,16
a7640aa827cf,29,2023-2025,3295.46949999999,-0.19351296478144409,2.4955572669653043,730,1.5,3.0,no-entry,block_entry_hold_segment,21
a7640aa827cf,29,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,1.5,3.0,no-entry,block_entry_hold_segment,1
0f7c53a1a577,30,2021-2022,144.07650000000058,-0.156104172098263,0.4637458164253186,414,1.5,3.0,force-flat,force_flat,16
0f7c53a1a577,30,2023-2025,3363.307499999991,-0.19790439751330346,2.5725834912964456,736,1.5,3.0,force-flat,force_flat,21
0f7c53a1a577,30,2026,1205.0660000000034,-0.13959285356071816,7.3342401008913765,42,1.5,3.0,force-flat,force_flat,1
1a6989b19bd7,31,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,2.0,0.5,no-entry,block_entry_hold_segment,16
1a6989b19bd7,31,2023-2025,3361.0464999999904,-0.18861054546685085,2.552915986666317,733,2.0,0.5,no-entry,block_entry_hold_segment,21
1a6989b19bd7,31,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,2.0,0.5,no-entry,block_entry_hold_segment,1
1452ff13f662,32,2021-2022,145.6595000000002,-0.15492667019495754,0.4675399479598456,414,2.0,0.5,force-flat,force_flat,16
1452ff13f662,32,2023-2025,3413.8664999999864,-0.16984584815562687,2.6211562258411023,737,2.0,0.5,force-flat,force_flat,21
1452ff13f662,32,2026,1525.5030000000015,-0.12054518139498371,8.848762427748722,42,2.0,0.5,force-flat,force_flat,1
026ec0a4d5ca,33,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,2.0,1.0,no-entry,block_entry_hold_segment,16
026ec0a4d5ca,33,2023-2025,3310.58949999999,-0.18934277473442096,2.51243423869237,731,2.0,1.0,no-entry,block_entry_hold_segment,21
026ec0a4d5ca,33,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,2.0,1.0,no-entry,block_entry_hold_segment,1
a8a9e34a0b1e,34,2021-2022,143.3965000000003,-0.1566099846656971,0.4620802188724071,414,2.0,1.0,force-flat,force_flat,16
a8a9e34a0b1e,34,2023-2025,3395.806499999987,-0.1733400859971601,2.5965873536114494,736,2.0,1.0,force-flat,force_flat,21
a8a9e34a0b1e,34,2026,1463.166000000002,-0.12383230410595814,8.555946263528329,42,2.0,1.0,force-flat,force_flat,1
e7c2a06af4e9,35,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,2.0,1.5,no-entry,block_entry_hold_segment,16
e7c2a06af4e9,35,2023-2025,3310.58949999999,-0.18934277473442096,2.51243423869237,731,2.0,1.5,no-entry,block_entry_hold_segment,21
e7c2a06af4e9,35,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,2.0,1.5,no-entry,block_entry_hold_segment,1
58aeb09254a2,36,2021-2022,143.01650000000063,-0.15689264462985109,0.4611711109895818,414,2.0,1.5,force-flat,force_flat,16
58aeb09254a2,36,2023-2025,3410.9554999999864,-0.16935162775299928,2.621977933992712,736,2.0,1.5,force-flat,force_flat,21
58aeb09254a2,36,2026,1374.8060000000014,-0.12881115769097862,8.147455044772267,42,2.0,1.5,force-flat,force_flat,1
d1e6f83a122e,37,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,2.0,2.0,no-entry,block_entry_hold_segment,16
d1e6f83a122e,37,2023-2025,3295.46949999999,-0.19351296478144409,2.4955572669653043,730,2.0,2.0,no-entry,block_entry_hold_segment,21
d1e6f83a122e,37,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,2.0,2.0,no-entry,block_entry_hold_segment,1
fb83d007f104,38,2021-2022,144.07650000000058,-0.156104172098263,0.4637458164253186,414,2.0,2.0,force-flat,force_flat,16
