config_id,mean_sharpe,min_sharpe,worst_max_drawdown,sum_pnl_usd,sharpe_2021_2022,sharpe_2023_2025,sharpe_2026,maxdd_2026,trades_total,pre_h,post_h,mode,time_filter_mode
20ca9e96fa11,3.839482192492563,0.4620802188724071,-0.1733400859971601,4982.705999999993,0.4620802188724071,2.594977817699356,8.461388540905928,-0.12479214754130075,1192,1.5,1.0,force-flat,force_flat
a38d670dbdb5,3.901685705946766,0.4554566602827589,-0.18934277473442096,4974.002999999993,0.4554566602827589,2.51243423869237,8.737166218865168,-0.12068393660451415,1185,1.5,1.5,no-entry,block_entry_hold_segment
cf600971e95a,3.7110177432483717,0.4611711109895818,-0.16960867002974744,4909.11499999999,0.4611711109895818,2.6203511958996994,8.051530922855834,-0.1298500602731273,1192,1.5,1.5,force-flat,force_flat
2af7e4c9b813,3.89606004870441,0.4554566602827589,-0.19351296478144409,4958.8829999999925,0.4554566602827589,2.4955572669653043,8.737166218865168,-0.12068393660451415,1184,1.5,2.0,no-entry,block_entry_hold_segment
e2e41c584466,3.651876970096057,0.4637458164253186,-0.19790439751330346,4836.449999999993,0.4637458164253186,2.5767184758497703,7.915166618013082,-0.131766654285163,1192,1.5,2.0,force-flat,force_flat
a7640aa827cf,3.89606004870441,0.4554566602827589,-0.19351296478144409,4958.8829999999925,0.4554566602827589,2.4955572669653043,8.737166218865168,-0.12068393660451415,1184,1.5,3.0,no-entry,block_entry_hold_segment
0f7c53a1a577,3.4568564695377137,0.4637458164253186,-0.19790439751330346,4712.449999999995,0.4637458164253186,2.5725834912964456,7.3342401008913765,-0.13959285356071816,1192,1.5,3.0,force-flat,force_flat
1a6989b19bd7,3.9151796219380812,0.4554566602827589,-0.18861054546685085,5024.459999999994,0.4554566602827589,2.552915986666317,8.737166218865168,-0.12068393660451415,1187,2.0,0.5,no-entry,block_entry_hold_segment
1452ff13f662,3.9791528671832235,0.4675399479598456,-0.16984584815562687,5085.028999999988,0.4675399479598456,2.6211562258411023,8.848762427748722,-0.12054518139498371,1193,2.0,0.5,force-flat,force_flat
026ec0a4d5ca,3.901685705946766,0.4554566602827589,-0.18934277473442096,4974.002999999993,0.4554566602827589,2.51243423869237,8.737166218865168,-0.12068393660451415,1185,2.0,1.0,no-entry,block_entry_hold_segment
a8a9e34a0b1e,3.8715379453373955,0.4620802188724071,-0.1733400859971601,5002.36899999999,0.4620802188724071,2.5965873536114494,8.555946263528329,-0.12383230410595814,1192,2.0,1.0,force-flat,force_flat
e7c2a06af4e9,3.901685705946766,0.4554566602827589,-0.18934277473442096,4974.002999999993,0.4554566602827589,2.51243423869237,8.737166218865168,-0.12068393660451415,1185,2.0,1.5,no-entry,block_entry_hold_segment
58aeb09254a2,3.7435346965848537,0.4611711109895818,-0.16935162775299928,4928.777999999988,0.4611711109895818,2.621977933992712,8.147455044772267,-0.12881115769097862,1192,2.0,1.5,force-flat,force_flat
d1e6f83a122e,3.89606004870441,0.4554566602827589,-0.19351296478144409,4958.8829999999925,0.4554566602827589,2.4955572669653043,8.737166218865168,-0.12068393660451415,1184,2.0,2.0,no-entry,block_entry_hold_segment
fb83d007f104,3.684574387805073,0.4637458164253186,-0.19790439751330346,4856.112999999992,0.4637458164253186,2.578342947353275,8.011634399636625,-0.13069698316996314,1192,2.0,2.0,force-flat,force_flat
5f5eca781008,3.89606004870441,0.4554566602827589,-0.19351296478144409,4958.8829999999925,0.4554566602827589,2.4955572669653043,8.737166218865168,-0.12068393660451415,1184,2.0,3.0,no-entry,block_entry_hold_segment
2a95ee639378,3.4901951237622666,0.4637458164253186,-0.19790439751330346,4732.112999999994,0.4637458164253186,2.5742086101443955,7.4326309447170855,-0.13839292261752778,1192,2.0,3.0,force-flat,force_flat
da2b20f3098e,3.584672354051009,0.4554566602827589,-0.18861054546685085,4567.012999999994,0.4554566602827589,2.5489189111490105,7.749641490721257,-0.11751861848101275,1185,3.0,0.5,no-entry,block_entry_hold_segment
4363bd6d402f,3.9167533904602867,0.4675399479598456,-0.1708172622922569,5028.887999999988,0.4675399479598456,2.6029709982236904,8.679749225197325,-0.12250151783778473,1191,3.0,0.5,force-flat,force_flat
220ebc365d93,3.5711350876426593,0.4554566602827589,-0.18934277473442096,4516.555999999993,0.4554566602827589,2.508307111923963,7.749641490721257,-0.11751861848101275,1183,3.0,1.0,no-entry,block_entry_hold_segment
e17033de9a37,3.807881884327751,0.4620802188724071,-0.1733400859971601,4946.2279999999955,0.4620802188724071,2.5784052023128265,8.38316023179802,-0.1258977031962406,1190,3.0,1.0,force-flat,force_flat
9c4bb6baed6d,3.5711350876426593,0.4554566602827589,-0.18934277473442096,4516.555999999993,0.4554566602827589,2.508307111923963,7.749641490721257,-0.11751861848101275,1183,3.0,1.5,no-entry,block_entry_hold_segment
47338ad034b7,3.6781105871962043,0.4611711109895818,-0.1703184318735903,4872.636999999989,0.4611711109895818,2.6037313470718404,7.96942930352719,-0.13104747990422838,1190,3.0,1.5,force-flat,force_flat
5e0ab156de85,3.5654896063104435,0.4554566602827589,-0.1941424761012155,4501.435999999994,0.4554566602827589,2.4913706679273155,7.749641490721257,-0.11751861848101275,1182,3.0,2.0,no-entry,block_entry_hold_segment
bea4d91153fa,3.618448078120109,0.4637458164253186,-0.19790439751330346,4799.9719999999925,0.4637458164253186,2.5598253619279125,7.831773056007095,-0.13299985059522224,1190,3.0,2.0,force-flat,force_flat
cd2af2ec1493,3.5654896063104435,0.4554566602827589,-0.1941424761012155,4501.435999999994,0.4554566602827589,2.4913706679273155,7.749641490721257,-0.11751861848101275,1182,3.0,3.0,no-entry,block_entry_hold_segment
561b9e269558,3.421641619141879,0.4637458164253186,-0.19790439751330346,4675.971999999994,0.4637458164253186,2.55568305416147,7.245495986838849,-0.14097765984943122,1190,3.0,3.0,force-flat,force_flat
