iter,score,final_equity,cagr,vol,sharpe,max_drawdown,fast,slow,ema_fast,ema_slow,atr_n,sep_k,nochop_ema,nochop_lookback,nochop_min,htf_slope_on,htf_slope_ema,htf_slope_window,htf_slope_atr_mult,base_slope_on,base_slope_ema,base_slope_window
641,2.1781421613579597,1.8651397011697721,0.2521782070794987,0.09847051392821649,2.333004269064755,-0.07743105385339777,15,50,30,120,20,0.35,30,30,13,True,100,4,,True,100,20
480,2.1774979948383377,1.9146080252578455,0.2640598148398585,0.10290651894729029,2.3285467732548053,-0.07552438920823379,15,200,50,120,14,0.3,20,15,10,False,30,4,0.04,False,100,20
884,2.177474682026057,1.7566826963558066,0.22540446303004247,0.0894899023603585,2.3161743722897645,-0.0693498451318536,30,200,30,200,14,0.2,20,20,15,True,200,8,0.03,False,50,20
868,2.175060163581321,1.9449529164606967,0.27125139424159683,0.1058578518804153,2.3201296982013315,-0.07253476731000519,20,100,30,150,10,0.33,30,30,14,True,200,4,0.01,False,200,20
696,2.1734019829495628,1.995651617382571,0.283108383535422,0.10963829206041173,2.328518872319862,-0.07755844468514961,10,200,50,150,14,0.25,15,20,10,False,30,3,0.015,True,200,20
501,2.17329608843744,1.9696291087747382,0.27704682257841906,0.10452024550528673,2.3919927888912866,-0.10934835022692335,10,200,20,150,14,0.3,15,30,12,True,100,4,0.04,True,100,30
67,2.172810198521658,1.9445209329313702,0.27114952152029526,0.10454845351288375,2.3471038745671615,-0.0871468380227518,25,125,30,250,10,0.33,30,20,13,False,50,6,0.03,False,200,20
440,2.1722368938966508,1.8653748491456794,0.25223516000762514,0.0982531504973629,2.3384103224049695,-0.08308671425415926,15,50,30,120,10,0.33,20,30,14,False,100,4,0.015,True,200,20
714,2.171507287341621,1.9401275466859287,0.2701126264105702,0.1036312095883292,2.3590814650211502,-0.09378708883976472,30,150,30,120,14,0.15,30,20,15,True,100,6,0.02,False,50,20
356,2.170418551496065,1.7617683219312377,0.2266831571204766,0.09129776982382204,2.2835277633058157,-0.05655460590487538,10,50,80,120,20,0.15,30,15,10,False,200,4,0.03,False,200,30
472,2.1704042383543296,2.0401968182356645,0.29336833186417466,0.11205287935407884,2.3518105889160803,-0.09070317528087524,15,150,30,200,20,0.2,15,25,11,False,100,8,0.02,False,50,10
835,2.1694877305350984,1.8786900672818994,0.25545265229532155,0.09944587978154887,2.3373528878707646,-0.08393257866783299,25,200,30,120,14,0.33,20,20,11,True,50,4,0.03,True,50,20
506,2.1690170543356855,1.8448287487347121,0.2472414635268827,0.09675539665936163,2.331799608784812,-0.0813912772245633,10,75,80,250,14,0.25,15,30,10,True,100,8,0.015,False,100,30
529,2.1678449226338135,1.8890554476829788,0.2579472686818056,0.10047034317044558,2.3342954150591386,-0.0832252462126627,10,150,30,250,20,0.4,15,30,12,True,100,4,0.015,True,50,10
467,2.167500908922091,2.065676723083939,0.2991727711101817,0.11467409556094839,2.339691797431553,-0.08609544425473092,25,200,50,150,10,0.3,15,30,12,False,100,4,,False,100,30
628,2.166470635606099,1.8859769579793055,0.257207289809092,0.09927917271075001,2.3551757123552473,-0.09435253837457402,10,75,30,250,20,0.2,15,20,11,False,50,8,0.04,False,50,30
300,2.166314438187313,1.8496887964894904,0.2484258876823997,0.0984263971744596,2.3035115644470725,-0.06859856312987966,10,200,80,250,14,0.27,20,20,13,False,200,8,0.02,True,200,10
94,2.1655327908289412,1.7234742863300176,0.21699602882475588,0.08745198237065996,2.289354826663123,-0.06191101791709097,15,50,50,120,20,0.15,20,20,14,True,50,4,0.04,True,50,10
726,2.165129391294488,1.9882867304683713,0.28139799323662973,0.10755205688275055,2.359180502070778,-0.09702555538814528,25,125,50,150,20,0.35,15,30,14,False,50,4,0.01,True,200,30
519,2.1636713439519477,2.120798083126854,0.31157488478593476,0.11709889103573311,2.3747789897468388,-0.10555382289744564,10,150,20,150,20,0.3,15,30,10,False,30,4,0.04,False,50,10
581,2.163449818380302,1.8023892683317941,0.2368129113214137,0.09278692455188402,2.3369834641514773,-0.08676682288558746,15,125,30,120,14,0.25,20,20,13,True,200,10,0.03,False,100,20
132,2.1632708550398383,1.898204686512752,0.2601419386045185,0.10211292398352341,2.3154483224331477,-0.0760887336966547,25,100,30,200,10,0.35,15,25,13,True,200,4,0.015,True,200,30
625,2.163113181767826,1.8941017195866872,0.2591585792420521,0.10176351923085743,2.3153762993883467,-0.07613155881026024,20,100,50,120,20,0.25,30,30,11,False,200,6,0.04,True,50,20
697,2.1626068713199507,1.7532467410105703,0.22453921049002346,0.09016335641090037,2.2917140648897036,-0.0645535967848766,30,50,50,250,20,0.2,30,15,10,False,30,8,0.01,False,200,30
386,2.1614489536518806,1.893619289170763,0.2590428655618384,0.1004663260382716,2.3430527742208493,-0.09080191028448437,30,125,50,150,20,0.35,30,20,11,True,200,10,,True,50,30
136,2.161411842708041,1.8769164975935915,0.25502492981057756,0.09953936426420877,2.331826550593041,-0.08520735394250001,10,125,30,200,10,0.3,30,15,12,True,30,6,,False,50,20
619,2.161091681254136,2.000800731765203,0.2843017969231567,0.10973735256519362,2.3349883101459494,-0.08694831444590667,15,200,20,250,10,0.4,20,25,14,False,100,4,0.015,False,50,20
804,2.160814519561349,1.9029281460202327,0.26127233063785904,0.10207961864986544,2.32495374715106,-0.08206961379485567,25,200,30,150,20,0.4,30,25,13,True,100,3,0.04,False,50,10
774,2.1606472369244045,1.8113213662573606,0.23902071201330766,0.09320202997088199,2.3461260614041337,-0.0927394122398646,25,100,80,120,20,0.35,20,20,13,False,50,8,0.01,False,200,20
