config_id,mean_sharpe,min_sharpe,worst_max_drawdown,sum_pnl_usd,sharpe_2021_2022,sharpe_2023_2025,sharpe_2026,maxdd_2026,trades_total,ema_fast,ema_slow,atr_n,sep_k
f22b2e010a15,3.214722704489756,0.04604935896131651,-0.20930327285414707,4150.008500000002,0.04604935896131651,2.320327177388553,7.277791577119398,-0.2056641557104797,1265,50,150,10,0.15
a54d0041db87,3.2795249629141856,0.11845257244143115,-0.19118808060438486,4098.877000000001,0.11845257244143115,2.3033136219233805,7.416808694377744,-0.1778781640387448,1258,50,150,10,0.2
7edaa7f18d6a,3.2745291402502006,0.08873780021678013,-0.1883122085451302,4087.0105000000053,0.08873780021678013,2.3012377711475978,7.4336118493862235,-0.1778781640387448,1248,50,150,10,0.25
9450dbb1e9b6,3.248902244298131,0.09526324712715427,-0.2056641557104797,4211.471999999998,0.09526324712715427,2.312380978284793,7.339062507482445,-0.2056641557104797,1278,50,150,14,0.05
8bbde7a56140,3.2249247125662417,0.05005012160940469,-0.2056641557104797,4185.112000000001,0.05005012160940469,2.3215506360479394,7.303173380041381,-0.2056641557104797,1273,50,150,14,0.1
0a250be94b17,3.233086915537046,0.025752164954885786,-0.2070054940492202,4165.679500000005,0.025752164954885786,2.333474126810972,7.340034454845279,-0.2056641557104797,1265,50,150,14,0.15
71f2d1da9725,3.3015994249319767,0.13979013209755178,-0.1950770369258471,4187.350500000002,0.13979013209755178,2.3235978752896016,7.441410267408776,-0.1778781640387448,1255,50,150,14,0.2
bcbb87326778,3.211026020334389,-0.004007924720376202,-0.19580184209928564,4004.7590000000046,-0.004007924720376202,2.2633926634576644,7.373693322265879,-0.1778781640387448,1245,50,150,14,0.25
9ffd9963a6d1,3.2489627576760314,0.11189879651461354,-0.2056641557104797,4227.380999999999,0.11189879651461354,2.3245979416480846,7.310391534865396,-0.2056641557104797,1278,50,150,20,0.05
be2d31bf8ed6,3.239045209633914,0.07993422692663767,-0.2056641557104797,4196.535000000001,0.07993422692663767,2.3340280219337233,7.303173380041381,-0.2056641557104797,1271,50,150,20,0.1
475432e0553e,3.2871524953039084,-0.004543334031665712,-0.202383982532796,4213.693499999999,-0.004543334031665712,2.3576706493767943,7.508330170566596,-0.1778781640387448,1266,50,150,20,0.15
ce479a8af762,3.35493382688624,0.08903132403032081,-0.1919616969796385,4218.312500000001,0.08903132403032081,2.3288397339720985,7.6469304226562995,-0.1778781640387448,1253,50,150,20,0.2
0f7985d5fa9d,3.271901813991685,-0.013353755412582565,-0.21402653089096835,4061.720000000005,-0.013353755412582565,2.2896686058893896,7.539390591498248,-0.1778781640387448,1243,50,150,20,0.25
238834d9206a,3.177426658712927,-0.04075557936258796,-0.25448275862069525,4210.308000000006,-0.04075557936258796,2.3901650999172803,7.182870455584088,-0.25448275862069525,1242,50,200,10,0.05
