config_id,config_idx,period,pnl_usd,max_drawdown,sharpe,win_rate,profit_factor,trades,ema_fast,ema_slow,atr_n,sep_k
de99945b13ed,174,2021-2022,19.216500000003407,-0.19333955309904105,0.15922749267510342,37.03703703703704,1.0282824165418796,404,50,300,14,0.2
de99945b13ed,174,2023-2025,3362.086999999993,-0.15820195513786295,2.7385564999232046,39.72222222222222,1.7290040059152025,720,50,300,14,0.2
de99945b13ed,174,2026,1079.678999999991,-0.21536471248772293,6.8579075371644915,37.2093023255814,2.972514904452802,42,50,300,14,0.2
4f5237ad5eaa,175,2021-2022,30.64900000000307,-0.18860301478092234,0.1840532199297286,37.406483790523694,1.0307922572900976,400,50,300,14,0.25
4f5237ad5eaa,175,2023-2025,3363.6399999999912,-0.16048613947494983,2.738260628806839,39.63838664812239,1.727166481105005,719,50,300,14,0.25
4f5237ad5eaa,175,2026,1115.7289999999884,-0.21536471248772293,7.026302060572529,37.2093023255814,3.019605917204818,42,50,300,14,0.25
e0d47d2ead28,176,2021-2022,48.296000000004824,-0.20083198761974852,0.22320990569010007,37.04600484261501,1.0388515690130748,412,50,300,20,0.05
e0d47d2ead28,176,2023-2025,3363.6569999999965,-0.16333088277810281,2.705374586976422,39.945280437756495,1.7166435159692024,731,50,300,20,0.05
e0d47d2ead28,176,2026,1139.1289999999917,-0.21536471248772293,7.104442700878988,37.2093023255814,3.0512465819183294,42,50,300,20,0.05
0b68c619cb7b,177,2021-2022,61.25450000000478,-0.19184146951459313,0.2517706087765653,36.51960784313725,1.0457639378306707,407,50,300,20,0.1
0b68c619cb7b,177,2023-2025,3392.963999999997,-0.16111261234755836,2.7287010335210007,40.027510316368634,1.7274152631098763,727,50,300,20,0.1
0b68c619cb7b,177,2026,1139.1289999999917,-0.21536471248772293,7.104442700878988,37.2093023255814,3.0512465819183294,42,50,300,20,0.1
b4e834446408,178,2021-2022,43.6505000000036,-0.19636451787994058,0.212970207934217,36.45320197044335,1.034248144857285,405,50,300,20,0.15
b4e834446408,178,2023-2025,3357.1204999999927,-0.1625090630964222,2.7144949170144543,39.86206896551724,1.719985399665277,725,50,300,20,0.15
b4e834446408,178,2026,1079.678999999991,-0.21536471248772293,6.8579075371644915,37.2093023255814,2.972514904452802,42,50,300,20,0.15
1ca949cf908b,179,2021-2022,15.493500000003905,-0.19276255631765904,0.15083668706951336,37.28395061728395,1.0262719142939025,404,50,300,20,0.2
1ca949cf908b,179,2023-2025,3355.916999999993,-0.16197584660933828,2.718745907002585,39.77746870653686,1.7211980348063076,719,50,300,20,0.2
1ca949cf908b,179,2026,1080.8089999999902,-0.21536471248772293,6.862876619558662,37.2093023255814,2.973861798309256,42,50,300,20,0.2
bb76962b9506,180,2021-2022,11.256500000001097,-0.19617874489158538,0.14125545863209718,37.1571072319202,1.0211556990916313,400,50,300,20,0.25
bb76962b9506,180,2023-2025,3352.7719999999945,-0.1610760284579783,2.736982317739061,39.74895397489539,1.7283746417196841,717,50,300,20,0.25
bb76962b9506,180,2026,1097.8789999999917,-0.21536471248772293,6.9435081963442356,37.2093023255814,2.9952910923452567,42,50,300,20,0.25
528ac3e9a5fc,181,2021-2022,-68.25099999999793,-0.2265301332765185,-0.035138064988627815,35.57046979865772,0.9667661866048943,446,60,150,10,0.05
528ac3e9a5fc,181,2023-2025,3043.837000000007,-0.18731954029594822,2.4105741218577013,39.559014267185475,1.5958065345469687,771,60,150,10,0.05
528ac3e9a5fc,181,2026,1268.6489999999912,-0.20913255041407952,7.3428813796715655,33.33333333333333,3.1848249101205095,44,60,150,10,0.05
b84a1c55cd78,182,2021-2022,-47.854499999997415,-0.21336121000892116,0.009139031064034272,37.04545454545455,0.98287115249099,439,60,150,10,0.1
b84a1c55cd78,182,2023-2025,2929.3365000000113,-0.17947159555785153,2.351416715810254,39.55026455026455,1.5920195012126943,756,60,150,10,0.1
b84a1c55cd78,182,2026,1262.0769999999948,-0.2087535675852763,7.315922139085681,35.55555555555556,3.1524929428951154,44,60,150,10,0.1
a17b3d860868,183,2021-2022,-38.283499999994774,-0.21437671755896726,0.02127310497770394,35.84474885844749,0.971303520685738,437,60,150,10,0.15
a17b3d860868,183,2023-2025,2898.464500000006,-0.17936220743949427,2.3708620378655825,39.361702127659576,1.5924313605063023,752,60,150,10,0.15
a17b3d860868,183,2026,1266.1034999999965,-0.17749918120994157,7.44188060304565,34.090909090909086,3.252034473950164,43,60,150,10,0.15
931d2bb09574,184,2021-2022,-51.28799999999342,-0.2154590036055144,-0.010017366949823974,35.498839907192576,0.9747273073895915,430,60,150,10,0.2
931d2bb09574,184,2023-2025,2923.352000000001,-0.18292200597289354,2.383372028811524,39.328859060402685,1.6072250700030184,745,60,150,10,0.2
931d2bb09574,184,2026,1261.1894999999968,-0.18036120338745532,7.422156630821426,34.090909090909086,3.266694566823889,43,60,150,10,0.2
b7d5e26aa014,185,2021-2022,-48.47699999999668,-0.20767098706548415,-0.0037173244147442664,35.294117647058826,0.976320996818623,424,60,150,10,0.25
b7d5e26aa014,185,2023-2025,2920.692500000003,-0.1837783819144726,2.3882689507190498,39.97289972899729,1.6125732253555074,738,60,150,10,0.25
b7d5e26aa014,185,2026,1285.4354999999923,-0.18036120338745532,7.568008459796422,36.36363636363637,3.468150119279584,43,60,150,10,0.25
f0c89306046a,186,2021-2022,-67.92499999999882,-0.22699157978583273,-0.03463622953589071,35.57046979865772,0.9680045190171197,446,60,150,14,0.05
f0c89306046a,186,2023-2025,3067.569000000004,-0.18719275355994136,2.4324582676641198,39.50456323337679,1.606832937111879,767,60,150,14,0.05
f0c89306046a,186,2026,1268.6489999999912,-0.20913255041407952,7.3428813796715655,33.33333333333333,3.1848249101205095,44,60,150,14,0.05
