variant,file,ema_sep,nochop,base_slope,corr,disabled,period,PnL_pct,MaxDD_pct,Sharpe,WinRate,ProfitFactor,AvgWin,AvgLoss,Trades
best_trend__no-ema_sep__no-nochop,best_trend__no-ema_sep__no-nochop.html,0,0,1,1,"ema_sep,nochop",2026,114.13,-21.65,5.93,45.65,2.41,7.62,-2.66,45
best_trend__no-ema_sep__no-nochop__no-base_slope,best_trend__no-ema_sep__no-nochop__no-base_slope.html,0,0,0,1,"base_slope,ema_sep,nochop",2021-2022,-4.38,-39.61,0.07,35.5,1.0,1.31,-0.73,706
best_trend__no-ema_sep__no-nochop__no-base_slope,best_trend__no-ema_sep__no-nochop__no-base_slope.html,0,0,0,1,"base_slope,ema_sep,nochop",2023-2025,246.64,-37.28,1.64,38.48,1.31,1.37,-0.67,1159
best_trend__no-ema_sep__no-nochop__no-base_slope,best_trend__no-ema_sep__no-nochop__no-base_slope.html,0,0,0,1,"base_slope,ema_sep,nochop",2026,109.46,-28.88,5.59,45.65,2.28,8.19,-3.02,45
best_trend__no-ema_sep__no-nochop__no-base_slope__no-corr,best_trend__no-ema_sep__no-nochop__no-base_slope__no-corr.html,0,0,0,0,"base_slope,corr,ema_sep,nochop",2021-2022,-1.53,-24.56,0.02,35.5,0.99,0.68,-0.39,706
best_trend__no-ema_sep__no-nochop__no-base_slope__no-corr,best_trend__no-ema_sep__no-nochop__no-base_slope__no-corr.html,0,0,0,0,"base_slope,corr,ema_sep,nochop",2023-2025,155.96,-21.95,1.87,38.58,1.34,0.89,-0.43,1169
best_trend__no-ema_sep__no-nochop__no-base_slope__no-corr,best_trend__no-ema_sep__no-nochop__no-base_slope__no-corr.html,0,0,0,0,"base_slope,corr,ema_sep,nochop",2026,85.96,-15.64,7.66,44.68,2.75,5.31,-1.56,46
best_trend__no-ema_sep__no-nochop__no-corr,best_trend__no-ema_sep__no-nochop__no-corr.html,0,0,1,0,"corr,ema_sep,nochop",2021-2022,-0.48,-21.71,0.06,35.11,0.99,0.7,-0.39,694
best_trend__no-ema_sep__no-nochop__no-corr,best_trend__no-ema_sep__no-nochop__no-corr.html,0,0,1,0,"corr,ema_sep,nochop",2023-2025,156.2,-21.05,1.88,38.18,1.34,0.92,-0.43,1129
best_trend__no-ema_sep__no-nochop__no-corr,best_trend__no-ema_sep__no-nochop__no-corr.html,0,0,1,0,"corr,ema_sep,nochop",2026,88.3,-12.69,8.0,44.68,2.95,5.09,-1.39,46
best_trend__no-nochop,best_trend__no-nochop.html,1,0,1,1,nochop,2021-2022,10.46,-15.27,0.35,36.71,1.07,1.14,-0.62,473
best_trend__no-nochop,best_trend__no-nochop.html,1,0,1,1,nochop,2023-2025,285.34,-16.88,2.3,40.64,1.54,1.22,-0.55,817
best_trend__no-nochop,best_trend__no-nochop.html,1,0,1,1,nochop,2026,64.4,-22.69,4.34,46.51,2.03,6.55,-2.81,42
best_trend__no-nochop__no-base_slope,best_trend__no-nochop__no-base_slope.html,1,0,0,1,"base_slope,nochop",2021-2022,8.08,-18.7,0.3,36.78,1.06,1.12,-0.63,483
best_trend__no-nochop__no-base_slope,best_trend__no-nochop__no-base_slope.html,1,0,0,1,"base_slope,nochop",2023-2025,288.86,-16.75,2.31,41.05,1.54,1.19,-0.55,838
best_trend__no-nochop__no-base_slope,best_trend__no-nochop__no-base_slope.html,1,0,0,1,"base_slope,nochop",2026,50.57,-28.54,3.57,46.51,1.8,6.71,-3.25,42
best_trend__no-nochop__no-base_slope__no-corr,best_trend__no-nochop__no-base_slope__no-corr.html,1,0,0,0,"base_slope,corr,nochop",2021-2022,6.58,-11.63,0.34,36.78,1.06,0.63,-0.35,483
best_trend__no-nochop__no-base_slope__no-corr,best_trend__no-nochop__no-base_slope__no-corr.html,1,0,0,0,"base_slope,corr,nochop",2023-2025,175.1,-11.57,2.43,41.09,1.54,0.84,-0.39,847
best_trend__no-nochop__no-base_slope__no-corr,best_trend__no-nochop__no-base_slope__no-corr.html,1,0,0,0,"base_slope,corr,nochop",2026,56.6,-15.46,6.08,45.45,2.35,4.59,-1.63,43
best_trend__no-nochop__no-corr,best_trend__no-nochop__no-corr.html,1,0,1,0,"corr,nochop",2021-2022,6.56,-10.18,0.33,36.71,1.06,0.64,-0.35,473
best_trend__no-nochop__no-corr,best_trend__no-nochop__no-corr.html,1,0,1,0,"corr,nochop",2023-2025,173.67,-11.63,2.41,40.61,1.54,0.88,-0.39,825
best_trend__no-nochop__no-corr,best_trend__no-nochop__no-corr.html,1,0,1,0,"corr,nochop",2026,63.51,-12.39,6.78,45.45,2.64,4.55,-1.44,43
