variant,period,peak_ts,trough_ts,recover_ts,depth,duration_bars,time_to_trough_bars
baseline_no_shock,2023-2025,2023-10-19 19:25:00+00:00,2023-10-19 23:00:00+00:00,2023-10-19 23:35:00+00:00,-0.007503492468415862,38,31
baseline_no_shock,2023-2025,2023-10-19 23:40:00+00:00,2023-10-20 01:10:00+00:00,2023-10-20 02:05:00+00:00,-0.009231272821505265,29,18
baseline_no_shock,2023-2025,2023-10-20 02:05:00+00:00,2023-10-20 02:10:00+00:00,2023-10-20 02:50:00+00:00,-0.0017746322975508155,9,1
baseline_no_shock,2023-2025,2023-10-20 02:55:00+00:00,2023-10-20 06:35:00+00:00,2023-10-20 07:40:00+00:00,-0.01079151617671159,57,44
baseline_no_shock,2023-2025,2023-10-20 07:40:00+00:00,2023-10-20 07:55:00+00:00,2023-10-20 08:15:00+00:00,-0.0034439151591839634,7,3
baseline_no_shock,2023-2025,2023-10-20 08:25:00+00:00,2023-10-20 08:35:00+00:00,2023-10-20 09:20:00+00:00,-0.004613455097105645,11,2
baseline_no_shock,2023-2025,2023-10-20 09:20:00+00:00,2023-10-25 03:45:00+00:00,2023-10-25 15:45:00+00:00,-0.02242708028485063,905,761
baseline_no_shock,2023-2025,2023-10-25 15:55:00+00:00,2023-10-25 16:05:00+00:00,2023-10-25 16:20:00+00:00,-0.0036853437634201125,5,2
baseline_no_shock,2023-2025,2023-10-25 16:20:00+00:00,2023-10-25 17:05:00+00:00,2023-10-25 17:30:00+00:00,-0.008918906990678876,14,9
baseline_no_shock,2023-2025,2023-10-25 17:35:00+00:00,2023-10-25 17:40:00+00:00,2023-10-25 17:45:00+00:00,-0.0010010511036590009,2,1
baseline_no_shock,2023-2025,2023-10-25 17:50:00+00:00,2023-10-25 20:35:00+00:00,2023-10-26 01:50:00+00:00,-0.009927035172730747,84,33
baseline_no_shock,2023-2025,2023-10-26 01:55:00+00:00,2023-10-26 02:00:00+00:00,2023-10-26 02:05:00+00:00,-0.0014015803564040308,2,1
baseline_no_shock,2023-2025,2023-10-26 02:05:00+00:00,2023-10-26 03:10:00+00:00,2023-10-26 03:45:00+00:00,-0.003970373416226969,20,13
baseline_no_shock,2023-2025,2023-10-26 03:45:00+00:00,2023-10-26 03:50:00+00:00,2023-10-26 04:05:00+00:00,-0.0011584536986817273,4,1
baseline_no_shock,2023-2025,2023-10-26 04:10:00+00:00,2023-10-26 04:15:00+00:00,2023-10-26 04:20:00+00:00,-0.0007725776533399342,2,1
baseline_no_shock,2023-2025,2023-10-26 04:25:00+00:00,2023-10-26 04:35:00+00:00,2023-10-26 04:50:00+00:00,-0.0005591379325708967,5,2
baseline_no_shock,2023-2025,2023-10-26 04:55:00+00:00,2023-10-26 05:00:00+00:00,2023-10-26 05:05:00+00:00,-0.0009274352409072151,2,1
baseline_no_shock,2023-2025,2023-10-26 05:10:00+00:00,2023-10-26 06:05:00+00:00,2023-10-26 08:35:00+00:00,-0.007365632832475488,41,11
baseline_no_shock,2023-2025,2023-10-26 08:55:00+00:00,2023-11-02 14:10:00+00:00,2023-11-16 16:15:00+00:00,-0.026383173634557666,4216,1443
baseline_no_shock,2023-2025,2023-11-16 16:15:00+00:00,2023-11-17 13:50:00+00:00,2023-11-21 03:55:00+00:00,-0.018584834302462938,680,247
baseline_no_shock,2023-2025,2023-11-21 03:55:00+00:00,2023-11-21 04:00:00+00:00,2023-11-21 04:05:00+00:00,-0.0008762417423258118,2,1
