variant,period,seg_id,entry_ts,exit_ts,size,duration_bars,ret_end,mae,mfe
baseline_no_shock,2021-2022,89,2021-04-13 17:20:00+00:00,2021-04-14 03:35:00+00:00,2.0,112,-0.003974331104575679,-0.004669376009545423,0.0042531289205944844
baseline_no_shock,2021-2022,91,2021-04-15 07:05:00+00:00,2021-04-15 20:10:00+00:00,2.0,158,0.036129742089828554,-0.002900363744571921,0.0453153692849233
baseline_no_shock,2021-2022,93,2021-04-16 10:50:00+00:00,2021-04-16 19:55:00+00:00,2.0,110,-0.0005295908910371017,-0.005151217113351536,0.014632785458947195
baseline_no_shock,2021-2022,95,2021-04-19 00:45:00+00:00,2021-04-19 02:15:00+00:00,2.0,19,-0.009323634989608864,-0.012898167390893667,0.0026478367655393686
baseline_no_shock,2021-2022,97,2021-04-19 08:20:00+00:00,2021-04-19 12:30:00+00:00,2.0,51,-0.015803978410542485,-0.01856369080540854,0.007180592375031658
baseline_no_shock,2021-2022,99,2021-04-20 16:50:00+00:00,2021-04-20 22:40:00+00:00,2.0,59,0.0008021906497746034,-0.0013192010685529887,0.0026810821716771738
baseline_no_shock,2021-2022,101,2021-04-20 23:45:00+00:00,2021-04-20 23:45:00+00:00,2.0,1,0.0,0.0,0.0
baseline_no_shock,2021-2022,103,2021-04-21 01:40:00+00:00,2021-04-21 09:15:00+00:00,2.0,92,-0.006212946810379982,-0.0071060579143721325,0.011267761504387463
baseline_no_shock,2021-2022,105,2021-04-21 12:50:00+00:00,2021-04-22 04:20:00+00:00,2.0,175,0.012061750845701047,-0.005005768365890284,0.022392014235154134
baseline_no_shock,2021-2022,107,2021-04-23 03:50:00+00:00,2021-04-23 05:25:00+00:00,2.0,20,-0.004247756463252039,-0.004247756463252039,0.0007319716919376162
baseline_no_shock,2021-2022,109,2021-04-27 13:05:00+00:00,2021-04-27 15:35:00+00:00,2.0,31,-0.004473727179422959,-0.005986999657886072,0.007198006406867075
baseline_no_shock,2021-2022,111,2021-04-28 23:05:00+00:00,2021-04-29 05:05:00+00:00,2.0,73,0.004069857598872018,-0.0014248890371317824,0.011907234944793954
baseline_no_shock,2021-2022,113,2021-05-03 07:20:00+00:00,2021-05-03 19:15:00+00:00,2.0,144,0.023488145615423006,-0.009065003275336436,0.033494929546254326
baseline_no_shock,2021-2022,115,2021-05-03 23:25:00+00:00,2021-05-04 00:30:00+00:00,2.0,14,-0.0013839561769373177,-0.0018807366028383843,0.0006867538201278389
baseline_no_shock,2021-2022,117,2021-05-05 17:05:00+00:00,2021-05-06 00:55:00+00:00,2.0,83,-0.0009580029396515366,-0.0024991794662011513,0.006548097550765908
baseline_no_shock,2021-2022,119,2021-05-06 03:10:00+00:00,2021-05-06 11:25:00+00:00,2.0,100,0.005875766513085745,-0.002481429776204691,0.010964412828343928
baseline_no_shock,2021-2022,121,2021-05-06 13:25:00+00:00,2021-05-06 20:10:00+00:00,2.0,82,0.03934742065805952,-0.001198437101488925,0.04455645027481547
baseline_no_shock,2021-2022,123,2021-05-06 23:00:00+00:00,2021-05-07 00:20:00+00:00,2.0,17,-0.0004950978023311459,-0.0004950978023311459,0.0028566140233943216
baseline_no_shock,2021-2022,125,2021-05-07 03:00:00+00:00,2021-05-07 12:30:00+00:00,2.0,115,0.001175056020112475,-0.000412635951248852,0.008644404365014013
baseline_no_shock,2021-2022,127,2021-05-07 12:40:00+00:00,2021-05-07 18:10:00+00:00,2.0,67,-0.008156881999402676,-0.014926467081943118,0.012159820843540503
baseline_no_shock,2021-2022,129,2021-05-09 22:45:00+00:00,2021-05-10 02:00:00+00:00,2.0,40,-0.003435017801819762,-0.0037132684674434646,0.006053952181778621
baseline_no_shock,2021-2022,131,2021-05-10 05:25:00+00:00,2021-05-10 16:15:00+00:00,2.0,131,0.00893485277415329,-0.002460953377073527,0.01691271753467083
baseline_no_shock,2021-2022,133,2021-05-11 11:20:00+00:00,2021-05-11 13:15:00+00:00,2.0,24,-0.02822860289018292,-0.02822860289018292,0.0
baseline_no_shock,2021-2022,135,2021-05-11 23:35:00+00:00,2021-05-12 00:45:00+00:00,2.0,15,-0.0032172738357033603,-0.0032172738357033603,0.0
baseline_no_shock,2021-2022,137,2021-05-14 10:50:00+00:00,2021-05-17 09:20:00+00:00,2.0,259,0.030818503187600044,-0.00012451920479839007,0.038692511726321266
baseline_no_shock,2021-2022,139,2021-05-17 19:20:00+00:00,2021-05-17 20:55:00+00:00,2.0,20,0.0010372662272322142,-0.0009184682148826173,0.0010372662272322142
baseline_no_shock,2021-2022,141,2021-05-18 00:10:00+00:00,2021-05-18 04:50:00+00:00,2.0,57,-0.001393805975832496,-0.002341310673507402,0.007385223531412022
