seg_id,entry_ts,exit_ts,size,duration_bars,ret_end,mae,mfe,variant,period
621,2024-05-09 13:05:00+00:00,2024-05-10 13:20:00+00:00,2.0,280,0.0556143107363849,-0.014218862667415677,0.068596210764581,shock_abs0p006,2023-2025
631,2024-05-17 10:50:00+00:00,2024-05-20 11:00:00+00:00,2.0,279,0.05933820967057768,0.0,0.07557040893802403,shock_abs0p006,2023-2025
335,2023-10-19 13:20:00+00:00,2023-10-20 12:40:00+00:00,2.0,269,0.03849074355588433,-0.0035145596703710646,0.049472324449748806,shock_abs0p006,2023-2025
997,2025-01-30 07:05:00+00:00,2025-01-31 05:40:00+00:00,2.0,260,0.027910901632272056,-0.0005327843180823466,0.030284084664013555,shock_abs0p006,2023-2025
561,2024-03-28 10:35:00+00:00,2024-04-01 08:45:00+00:00,2.0,255,0.06429272600569114,-0.004229009367648584,0.07527112958084037,shock_abs0p006,2023-2025
87,2023-03-17 04:05:00+00:00,2023-03-20 00:40:00+00:00,2.0,236,0.08671345655014218,0.0,0.11180998693450173,shock_abs0p006,2023-2025
77,2023-03-10 12:05:00+00:00,2023-03-12 22:10:00+00:00,2.0,122,0.109329599977259,-0.00021421450282876897,0.109329599977259,shock_abs0p006,2023-2025
319,2023-10-13 06:35:00+00:00,2023-10-15 23:05:00+00:00,2.0,187,0.08271944371586848,0.0,0.09575840053228446,shock_abs0p006,2023-2025
403,2023-12-01 16:50:00+00:00,2023-12-03 23:25:00+00:00,2.0,68,0.0775449630311329,-0.0023771431442068947,0.0775449630311329,shock_abs0p006,2023-2025
1387,2025-10-16 09:10:00+00:00,2025-10-17 01:50:00+00:00,2.0,189,0.035671240984276986,-0.004701385615875631,0.07350538053994637,shock_abs0p006,2023-2025
61,2026-01-26 16:25:00+00:00,2026-01-26 19:15:00+00:00,2.0,35,-0.043182134860536014,-0.06173279472850535,0.010691190266586048,shock_abs0p006,2026
67,2026-01-28 15:05:00+00:00,2026-01-28 15:15:00+00:00,2.0,3,-0.0418288905449975,-0.058653560284752326,0.0,shock_abs0p006,2026
33,2026-01-14 12:20:00+00:00,2026-01-14 14:50:00+00:00,2.0,31,-0.050384738134588436,-0.050384738134588436,0.004765438154575419,shock_abs0p006,2026
27,2026-01-13 17:20:00+00:00,2026-01-13 18:20:00+00:00,2.0,13,-0.041278515514289515,-0.041278515514289515,0.003167862499561691,shock_abs0p006,2026
5,2026-01-05 23:05:00+00:00,2026-01-06 01:05:00+00:00,2.0,25,-0.039890107725940815,-0.039890107725940815,0.006009610650490549,shock_abs0p006,2026
25,2026-01-12 13:20:00+00:00,2026-01-12 19:25:00+00:00,2.0,74,0.010701615566951928,-0.03796545922911487,0.035129402581669966,shock_abs0p006,2026
47,2026-01-21 10:05:00+00:00,2026-01-21 15:10:00+00:00,2.0,62,-0.0029668027935971786,-0.033881972373877245,0.02022538405765717,shock_abs0p006,2026
63,2026-01-27 07:35:00+00:00,2026-01-27 12:25:00+00:00,2.0,59,-0.027533240889309418,-0.03324261315486188,0.0033787347948324165,shock_abs0p006,2026
29,2026-01-14 05:05:00+00:00,2026-01-14 10:15:00+00:00,2.0,63,-0.012278215575359352,-0.03304425096261954,0.001628966658817177,shock_abs0p006,2026
9,2026-01-06 08:35:00+00:00,2026-01-06 09:30:00+00:00,2.0,12,-0.021108510621066112,-0.026149772029705365,0.002186571213384836,shock_abs0p006,2026
77,2026-02-10 15:30:00+00:00,2026-02-10 15:55:00+00:00,2.0,6,-0.004256703498751513,-0.01975806386350132,0.00016185184405803632,shock_abs0p006,2026
53,2026-01-22 14:55:00+00:00,2026-01-23 08:15:00+00:00,2.0,197,0.1510480983437683,-0.016744596615554164,0.18937210283650563,shock_abs0p006,2026
15,2026-01-09 06:40:00+00:00,2026-01-09 09:00:00+00:00,2.0,29,-0.012897975239659853,-0.01671829670059488,0.0012142340340777213,shock_abs0p006,2026
79,2026-02-12 03:05:00+00:00,2026-02-12 07:55:00+00:00,2.0,59,-0.0073429677497454104,-0.015065821729901563,0.007253005456212769,shock_abs0p006,2026
